Datetime,Max_Demand_MW,Peak_Shortage_MW,Energy_Met_MU
2014-01-02,131131.0,3123.0,2629.8
2014-01-03,132993.0,4724.3,2698.8
2014-01-04,134549.0,4143.0,2759.2
2014-01-05,135015.0,4087.0,2767.2999999999997
2014-01-06,128928.0,3539.9,2664.1
2014-01-07,131506.0,5363.7,2737.4
2014-01-08,134379.2,4954.7,2761.2
2014-01-09,136133.0,4008.7,2809.7000000000003
2014-01-10,135446.0,5099.4,2796.7999999999997
2014-01-11,137557.2,5388.4,2806.6
2014-01-12,135265.2,4322.0,2773.5
2014-01-13,132506.0,3736.4,2723.3
2014-01-14,134498.0,4115.4,2779.7
2014-01-15,132171.0,3198.8,2706.0
2014-01-16,136920.0,3373.0,2679.0
2014-01-17,132778.0,4395.0,2722.9
2014-01-18,133358.0,2931.0,2742.1000000000004
2014-01-19,130248.0,5230.0,2648.2000000000003
2014-01-20,130435.0,4155.0,2652.5
2014-01-21,133941.0,5525.0,2713.3
2014-01-22,129778.0,4869.0,2668.8
2014-01-23,128563.0,5202.0,2634.1
2014-01-24,128196.0,4805.0,2613.2
2014-01-25,258840.0,8332.0,5326.0
2014-01-26,129727.0,5377.0,2652.1
2014-01-27,124825.0,2862.0,2542.7
2014-01-28,258692.0,9770.0,5244.0
2014-01-29,132062.0,3732.0,2707.2000000000003
2014-01-30,132907.0,4236.0,2717.0
2014-01-31,133164.0,4879.0,2717.5
2014-02-01,132928.0,3519.0,2724.7000000000003
2014-02-02,131475.0,4921.0,2729.4
2014-02-03,128916.0,3741.0,2655.0
2014-02-04,132112.0,6883.0,2716.8
2014-02-05,132535.0,4617.0,2766.8
2014-02-06,133797.0,5778.0,2795.8
2014-02-07,133357.0,4946.0,2771.2
2014-02-08,132365.0,4145.0,2749.4
2014-02-09,132821.0,5107.0,2761.2000000000003
2014-02-10,129297.0,3604.0,2687.1
2014-02-11,133381.0,4867.0,2757.8
2014-02-12,135157.0,6254.0,2794.2
2014-02-13,136157.0,4836.0,2815.5
2014-02-14,136729.0,3478.0,2820.0
2014-02-15,133685.0,4003.0,2743.2999999999997
2014-02-16,132335.0,3567.0,2701.2
2014-02-17,128253.0,3058.0,2628.1
2014-02-18,132614.0,4496.0,2694.7000000000003
2014-02-19,133144.0,4946.0,2744.8
2014-02-20,134515.0,7801.0,2763.1
2014-02-21,134588.0,5681.0,2779.9
2014-02-22,134626.0,5070.0,2779.1
2014-02-23,132159.0,4212.0,2741.6
2014-02-24,128314.0,3057.0,2662.6
2014-02-25,133194.0,3564.0,2717.2000000000003
2014-02-26,130867.0,4789.0,2710.2
2014-02-27,129908.0,4734.0,2689.5
2014-02-28,123029.0,4570.0,2637.7999999999997
2014-03-01,123779.0,6497.0,2543.6
2014-03-02,124307.0,4995.0,2542.2
